,author_id,tweet_id,text,created_at
128,44196397,1517697082588639237,"@WholeMarsBlog FSD is best in Bay Area, given engineering mostly lives there, but rest of country will soon be at that level",2022-04-23 02:49:16+00:00
129,44196397,1517695592000065536,@PPathole @teslaownersSV @BillyM2k @engineers_feed Something like that,2022-04-23 02:43:21+00:00
130,44196397,1517693695226691586,@AlexAndBooks_ Good list,2022-04-23 02:35:48+00:00
131,44196397,1517692030759182337,@teslaownersSV @BillyM2k @engineers_feed Yes,2022-04-23 02:29:12+00:00
132,44196397,1517681356125392897,@BillyM2k @engineers_feed So many “verified” scam crypto bots!,2022-04-23 01:46:47+00:00
133,44196397,1517653363969740801,"@engineers_feed I will verify you. 

The current process for verification is like if Kafka had a Magic 8-Ball!",2022-04-22 23:55:33+00:00
134,44196397,1517650638393561094,@PPathole I wish we did. Would be better for making life multiplanetary.,2022-04-22 23:44:43+00:00
135,44196397,1517650251926192128,What is best in life?,2022-04-22 23:43:11+00:00
136,44196397,1517649402449510401,The Barbarians are at the Gate,2022-04-22 23:39:48+00:00
137,44196397,1517648751002886149,@teslaownersSV @SpaceX The real tragedy is that tie I’m wearing!,2022-04-22 23:37:13+00:00
138,44196397,1517647730159628288,@WholeMarsBlog That number should probably be on my gravestone at this point,2022-04-22 23:33:10+00:00
139,44196397,1517419427528118273,@PPathole Yes,2022-04-22 08:25:58+00:00
140,44196397,1517244364703027201,@28delayslater 🤣💯,2022-04-21 20:50:20+00:00
141,44196397,1517236891606790144,Believe in the future,2022-04-21 20:20:38+00:00
142,44196397,1517234911035412481,https://t.co/IOV4tWvyxv,2022-04-21 20:12:46+00:00
143,44196397,1517234027970899982,https://t.co/TMOnmKBcWQ,2022-04-21 20:09:15+00:00
144,44196397,1517219715520901121,@APompliano Tesla is really a dozen or more startups if you look at all the things created from scratch that aren’t present in other car companies,2022-04-21 19:12:23+00:00
145,44196397,1517218742291382272,@SpaceX Starlink satellites deployed into initial parking orbit https://t.co/73sOZkUJaJ,2022-04-21 19:08:31+00:00
146,44196397,1517215736606957573,And authenticate all real humans,2022-04-21 18:56:34+00:00
147,44196397,1517215588376092673,@johnkrausphotos Indeed (heavy sigh),2022-04-21 18:55:59+00:00
148,44196397,1517215066550116354,"If our twitter bid succeeds, we will defeat the spam bots or die trying!",2022-04-21 18:53:55+00:00
149,44196397,1517214299923652609,"Such a joy to work with amazingly talented people at SpaceX, Tesla, Neuralink &amp; Boring Co!",2022-04-21 18:50:52+00:00
